category_id,video_id,content
1,pPZrq-dL8xM,"Stay hungry and devour with Manscaped, the perfect holiday gift for 20% off with code FILMENTO20: https://manscaped.com/filmento"
1,pPZrq-dL8xM,"I didn’t know i wanted to see Pierce as a superhero, but I really liked him as Dr Fate. He and Aldis as Hawkman stole the show completely. I’d genuinely love to see a show spun off of seeing those two’s history and adventures together leading up to this movie."
1,pPZrq-dL8xM,"This movie just made me miss when the Rock played villains. If allowed to be evil for a substantial part of the movie, it would've been much better. He was outstanding as villains in Doom, Get Smart, and even in Pain and Gain if you count that... AND in his wrestling career."
1,pPZrq-dL8xM,I think a lot of people are also exhausted with the antihero trope at this point. It was weird to me how hard this movie’s marketing leaned into the “I’m not like other g̶i̶r̶l̶s̶ superheroes” when we’ve seen the troubled antihero thing pretty much done to death in the past ten years.
1,pPZrq-dL8xM,"From all the ""Failed"" movies on this channel this year, black adam definetly was the best one. I actually enjoyed it but it could have been way more"
1,pPZrq-dL8xM,"Filmento, not sure if you’ll see this but thank you so much for making these videos. As an aspiring movie writer, your videos have helped so much with a script I’ve written for a Film & Media class i’m in: I’ve learned what to do with Film Perfection and just as much with Anatomy of a Failure. Your comedy is also gold and that’s what lead me to your channel in the first place. If it wasn’t for these videos, I might not have developed such a passion for writing for film. Thank you."
1,pPZrq-dL8xM,"Filmento puts his money where his mouth is. While talking about bad writing, he explains what good writing is and uses those tools for good writing to seamlessly transition to an ad for manscaped. Film perfection"
1,pPZrq-dL8xM,This movie was the Rock's passion project from nearly 20 years ago. I'm glad the dude finally managed to make his dream a reality but the reality is that his project came about 20 years too late.
1,pPZrq-dL8xM,"It was definitely the most radical mid 90s skateboarder movie ever made. Also hilarious that the bad guy is the ""only"" descendants of a guy from 5,000 years ago. That's long ago enough that 99% of people would be descendants of that evil king."
1,pPZrq-dL8xM,Black Adam is the perfect example of when you go all in on visuals and half ass the actual story.
1,pPZrq-dL8xM,"As soon as I saw the movie, I knew Filmento was gonna criticise how Black Adam was a passive character that tagged along and pushed the plot. I've clearly learned a lot on your videos."
1,pPZrq-dL8xM,"It's astonishing how organically you fit the ad into the point you're making into these videos lmao
Great stuff"
1,pPZrq-dL8xM,"There's a lot of really good bits and pieces in Black Adam, but you're right that the villain was extremely weak.  The final fight scene where the possessed Ishmael is trying to sit on the ancient throne of Khandaq is kinda goofy because they never set up why he had to sit on the throne, or what would happen if he did.  It's just ""Hey, don't let him reach the chair because reasons!"""
1,pPZrq-dL8xM,I agree that I prefer movies led by characters that have agency but I thought the main objective of his character was to find his purpose so it didn't really bother me that he was on a journey from event to event trying to figure out his way.
1,pPZrq-dL8xM,"I really liked Black Adam. The movie was just a dope, fun, dumb out, action filled escapist type of film. I liked the Rock, Dr Fate, Hawkman they call worked. I wish it was more successful. But alas it didn't get the win. Hopefully they make another one with Superman and its gets the win."
1,pPZrq-dL8xM,"I wonder if it is possible to write a passive main character but still have the story be about them, unlike the Great Gatsby where the ""main character"" is passive but only a spectator to someone else's story."
